1	[ACCOLATE] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	* 1	0.625000	1.000000	0.500000	0.666667	ACCOLATE ACCUTANE
	  1	0.625000	1.000000	0.500000	0.666667	ACCOLATE COLACE
2	[ACCUTANE] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	* 1	0.625000	0.500000	0.333333	0.400000	ACCUTANE ACCOLATE
	  1	0.625000	0.500000	0.333333	0.400000	ACCUTANE ARTANE
	  1	0.625000	0.500000	0.333333	0.400000	ACCUTANE CORTANE
	* 2	0.562500	1.000000	0.400000	0.571429	ACCUTANE ACCUPRIL
	  2	0.562500	1.000000	0.400000	0.571429	ACCUTANE ACULAR
3	[ACCUPRIL] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	* 1	0.562500	0.333333	0.500000	0.400000	ACCUPRIL ACCUTANE
	  1	0.562500	0.333333	0.500000	0.400000	ACCUPRIL VANCERIL
	  2	0.555556	0.333333	0.333333	0.333333	ACCUPRIL CAPTOPRIL
	  3	0.500000	0.333333	0.100000	0.153846	ACCUPRIL ACCOLATE
	  3	0.500000	0.333333	0.100000	0.153846	ACCUPRIL ACULAR
	  3	0.500000	0.333333	0.100000	0.153846	ACCUPRIL CEFPROZIL
	  3	0.500000	0.333333	0.100000	0.153846	ACCUPRIL CLINORIL
	  3	0.500000	0.333333	0.100000	0.153846	ACCUPRIL CLOZARIL
	  3	0.500000	0.333333	0.100000	0.153846	ACCUPRIL ENALAPRIL
	  3	0.500000	0.333333	0.100000	0.153846	ACCUPRIL OCUPRESS
	  4	0.444444	0.333333	0.090909	0.142857	ACCUPRIL LACRILUBE
	* 5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL ACIPHEX
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL ALUPENT
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL AMRINONE
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL ANAPROX
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL AVAPRO
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL BEPRIDIL
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL CATAPRES
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL CIPRO
	* 5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL MONOPRIL
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL PRILOSEC
	  5	0.437500	1.000000	0.136364	0.240000	ACCUPRIL PRINIVIL
4	[ACIPHEX] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	  1	0.500000	0.000000	0.000000	0.000000	ACIPHEX ANTACID
	  2	0.450000	0.000000	0.000000	0.000000	ACIPHEX CLOMIPHENE
	* 3	0.437500	1.000000	0.333333	0.500000	ACIPHEX ACCUPRIL
5	[MONOPRIL] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	  1	0.562500	0.333333	0.333333	0.333333	MONOPRIL KLONOPIN
	* 1	0.562500	0.333333	0.333333	0.333333	MONOPRIL MONOKET
	  1	0.562500	0.333333	0.333333	0.333333	MONOPRIL MORPHINE
	* 2	0.555556	0.666667	0.500000	0.571429	MONOPRIL MINOXIDIL
	  3	0.550000	0.666667	0.400000	0.500000	MONOPRIL LISINOPRIL
	  4	0.500000	0.666667	0.222222	0.333333	MONOPRIL CAPTOPRIL
	  4	0.500000	0.666667	0.222222	0.333333	MONOPRIL CLINORIL
	  4	0.500000	0.666667	0.222222	0.333333	MONOPRIL ENALAPRIL
	  4	0.500000	0.666667	0.222222	0.333333	MONOPRIL METOPROLOL
